id,titulo
28881,4.7.3. Líneas de la compañía Telefónica en servicio según tipo de línea (1988-2013)
23453,4.8.1. Inversiones en el Registro Industrial según sector económico (1998-2012)
37169,4.9.1. Oficinas de entidades de crédito por tipo
114200,4.9.2. Cajeros automáticos
22418,4.10.1.1.1. Número de empresas
22419,4.10.1.1.2. Empresas por actividad económica según CNAE 09
22673,4.10.1.1.3. Empresas por actividad económica (CNAE-93)
22455,4.10.1.1.4. Empresas según forma jurídica
22456,4.10.1.1.5. Empresas según tramo de empleo asalariado
22457,4.10.1.1.6. Empresas según tramo de empleo
22587,4.10.1.1.7. Empresas según tramo de empleo. Serie completa desde 1998
28970,4.10.1.2.1. Sociedades mercantiles constituidas por sector de actividad
67776,4.10.1.2.2. Sociedades mercantiles constituidas según forma jurídica
67367,4.10.1.3.1. Empresas inscritas en la Seguridad Social según actividad económica
67368,4.10.1.3.2. Empresas inscritas en la Seguridad Social según tamaño de empresa
67369,4.10.1.3.3. Empresas inscritas en la Seguridad Social según forma jurídica
22590,4.10.2.1.1. Número de establecimientos
22591,4.10.2.1.2. Establecimientos por actividad económica según CNAE 09
22671,4.10.2.1.3. Establecimientos por actividad económica según CNAE 93. (1998-2009)
22608,4.10.2.1.4. Establecimientos según forma jurídica
22609,4.10.2.1.5. Establecimientos según tramo de empleo asalariado
22610,4.10.2.1.6. Establecimientos según tramo de empleo
22669,4.10.2.1.7. Establecimientos según tramo de empleo. Serie completa desde 1998
52132,4.10.3.1.1. Número de sociedades cooperativas constituidas y capital
52168,4.10.3.1.2. Sociedades cooperativas constituidas: número de socios iniciales por sexo y tipo
23573,"4.10.3.1.3. Cooperativas, socios y trabajadores (1996 y 2001)"
23579,"4.10.3.1.4. Cooperativas, socios y trabajadores por actividad económica (2001)"
52195,4.10.3.2.1. Número de sociedades laborales limitadas registradas y capital
52206,4.10.3.2.2. Sociedades laborales limitadas registradas: número de socios iniciales por sexo y tipo
23595,"4.10.3.2.3. Sociedades Laborales por tipo, socios y trabajadores (1996 y 2001)"
23601,"4.10.3.2.4. Sociedades Anónimas Laborales, socios y trabajadores por actividad económica (1996 y 2001)"
41486,"4.10.3.2.5. Sociedades Limitadas Laborales, socios y trabajadores por actividad económica (2001)"
87678,"4.10.4.1. Número de espacios productivos, superficie y número de establecimientos"
87673,4.10.4.2. Número de espacios productivos por tipo
87674,4.10.4.3. Número de espacios productivos según estado
87675,4.10.4.4. Superficie de las parcelas de los espacios productivos por tipo
87676,4.10.4.5. Número de establecimientos en espacios productivos por actividad
87677,4.10.4.6. Número de establecimientos en espacios productivos por estrato de asalariados
31646,5.1.1.1. Población de más de 16 años por nivel de estudios completados (Censo 2011)
41040,5.2.1.1. Población activa que reside en viviendas familiares por sexo (Censo 2011)
31642,5.2.1.2. Población inactiva que reside en viviendas familiares por sexo (Censo 2011)
31643,5.2.1.3. Población inactiva que reside en viviendas familiares por situación (Censo 2011)
23890,5.2.1.4. Población activa por sexo (Censo 2001)
23909,"5.2.1.5. Tasa de actividad por sexo (Censos 1981, 1986, 1991, 2001)"
31692,5.3.1.1. Población ocupada que reside en viviendas familiares por sexo (Censo 2011)
23896,5.3.1.2. Población ocupada por sexo (Censo 2001)
26608,5.3.1.3. Población ocupada por actividad económica y sexo (Censo 2001)
26688,5.3.1.4. Población ocupada por situación profesional y sexo (Censo 2001)
23910,5.3.1.5. Tasa de empleo por sexo (Censo 2001)
23911,5.3.1.6. Tasa de ocupación por sexo (Censo 2001)
37125,5.3.2.1. Contratos registrados por sexo
37127,5.3.2.2. Contratos registrados por edad y sexo
37133,5.3.2.3. Contratos registrados por tipo de contrato y sexo
37216,"5.3.2.4. Contratos registrados por tipo de contrato, tipo de jornada y sexo"
